優先度,企業名,業界,軸,ステータス,次アクション,ES締切,夏IS締切,本選考接続度,テスト種別,面接予定,メモ
B,AWSジャパン,IT/DX,3,未着手,優先度下げ・外資は別ルートで検討,なし,なし,C（日本向け新卒インターンなし・公式amazon.jobs確認）,N/A,,日本語求人なし。日本向け学生インターンは公式サイトに掲載なし（Puppeteer公式確認）
A,味の素,食品,2,未着手,夏IS未発表→公式定期チェック。秋冬に向けて準備,要調査,未発表（28卒向け夏IS未公開）,B（書類・デザイン思考テスト免除の優遇体験談あり）,✅玉手箱Web(◎体験談多数),,ゼミ先輩6名。夏ISは未発表。秋〜冬に公開予定
B,キリン,食品,2,未着手,【緊急7/7 12時締切】マイページ登録→ES準備,要調査,2026-07-07 12:00,B（優秀者は本選考最終面接スタートの体験談）,✅TG-WEB（Web・監視なし）(◎体験談多数),,ゼミ先輩5名。7/7締切★★★。TG-WEBは玉手箱と別対策要
B,INPEX,資源,2,ESほぼ完成,ES提出 7/3締切,2026-07-03,2026-07-03,要確認,❌SPI TC(◎体験談多数),,ゼミ先輩あり。ES完成済み。TC確定→本選考直結度要調査
B,日揮,プラント,2,未着手,夏1day先着順で参加ハードル低（文系）→8月エントリー,要調査,先着順（8月複数回・先着），要確認（公式に早期選考言及なし）,なし（先着順の1dayはテスト不要）(○体験談),,ゼミ先輩8名。文系はWeb不要の先着順1day★
B,東京エレクトロン,半導体,2,未着手,テスト形式調査,要調査,要調査,要確認,⚠️要確認,,ゼミ先輩あり
B,キーエンス,精密/営業,2,未着手,テストセンター確定→後回し,要調査,要調査,要確認,❌SPI TC IRT(◎体験談多数),,ゼミ先輩4名。TC確定→後回し
A,IBM,コンサルIT,3,未着手,秋冬IS公開待ち（10〜12月エントリー予定・28卒向け未公開）,要調査,なし（夏ISなし・秋冬のみ）,B（年内内々定の体験談あり・公式明記は不明）,✅玉手箱Web(◎体験談多数),,2025実績: 10〜12月エントリー→11〜12月開催。全8コース。28卒向け未公開（秋に公開予定）
A,千代田化工建設,プラント,2,未着手,採用サイトURL変更確認（旧URLはIBMにリダイレクト）→公式HP直接確認,要調査,要調査,要確認（理系IS→本選考直結あり。文系向け別プログラムは不明）,⚠️要確認（年度により変動・GAB/SPI/玉手箱）,,ゼミ先輩13名。recruit.chiyodacorp.comはIBMにリダイレクト→採用サイト移行中の可能性
A,日本M&Aセンター,金融,3,未着手,nihon-ma.snar.jpでIS情報を定期確認（現在未掲載）,要調査,未掲載（今後公開の可能性あり）,要確認（IS現時点未掲載・本選考プレエントリーは受付中）,⚠️適性検査（1次面接後に実施・種別未確認）,,28卒本選考プレエントリー受付中。IS情報なし。選考フロー: 書類→1次面接→適性検査→最終
A,東京海上日動,金融,2,未着手,【緊急】axol.jpマイページで東京開催締切を確認してエントリー,要調査,要確認（axol.jpログイン後のみ開示）,B（選考情報活用と公式明記。EDGEコースは接続度A相当）,✅玉手箱Web(○体験談),,東京3セッション確認済み: 8/17〜20・8/24〜27・8/31〜9/3。締切はマイページのみ。EDGEコースは接続度高い
A,SMBC日興証券,金融,2,ES完成,【本日6/29正午】ES提出 → Webテスト13時,2026-06-29,2026-06-29,要確認（本選考直結の公式言及なし）,✅玉手箱Web(◎体験談多数),,ゼミ先輩3名。本日正午ESを提出すること
B,ベイカレント・コンサルティング,コンサル,3,未着手,マイページ登録→夏IS締切確認（7月締切残存の可能性）,要調査,⚠️7月（締切残存の可能性あり）,A（夏IS→本選考直結の評判高い・複数クール開催）,✅玉手箱Web(◎複数情報源一致),,国内最大規模コンサル。財務分析×事業変革。玉手箱確定★★
B,デロイトトーマツコンサルティング,外資コンサル,3,未着手,マイページ登録→締切確認（8〜9月開催ISあり）,要調査,⚠️7〜8月,A（夏IS→早期選考ルートとして知名度高い）,✅TG-WEB(reashu.com確認),,戦略・M&A・財務アドバイザリーコースが軸直結。TG-WEB確定
B,ORIX,金融・事業投資,2,未着手,マイページ登録→締切確認,要調査,⚠️7〜8月,B（有利可能性）,⚠️玉手箱（金融系通例・要確認）,,多角的事業投資×インバウンド（ホテル事業）×海外ファイナンスが軸2直結。商社志望者に人気
B,東京ガス,インフラ・エネルギー,2,未着手,マイページ登録→締切確認,要調査,⚠️7〜8月,B（有利可能性）,✅玉手箱Web(reashu.com確認),,脱炭素事業投資×海外LNG事業展開が商社ルートと近い。財務分析職種あり。玉手箱確定
B,三井住友ファイナンス＆リース（SMFL）,リース・事業投資,2,未着手,smfl.co.jp/saiyo/internship2026/で締切確認,要調査,⚠️7〜8月,B（三井住友グループ・有利可能性）,⚠️玉手箱（三井住友グループ通例・要確認）,,事業投資型リース×インフラファイナンスが商社軸直結。ISページ存在確認済み
